"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Justification:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"University Of Cape Coast (UCC)","CR/UCC/GD/0115/2015","-","Single Sourced","1","","ETC/PPA","-","09th March, 2016","19th May, 2016","Ghana Cedi","Gh¢228844.23","Annointed Electrical Engineering Services","","P. O. Box KN 5752 ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0116/2019","NCT","Open Tender","2","Supply of Exercise Books for UCC Press","Entity Tender Committee","02nd October, 2019","07th November, 2019","Ghana Cedi","Gh¢310500.00","FINE-PRINT LIMTED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0117/2015","NCT","Open Tender","1","Supply of Electrical Cables for UHS - Various","Entity Tender Committee","10th May, 2016","10th June, 2016","Ghana Cedi","Gh¢53802.00","Contra Focus Limited","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0118/2014","NCT","Open Tender","2","ONE 30 SEATER VEHICLESONE 4X4 CROSS COUNTRY VEHICLEDELIVERY PERIOD: 30 DAYS","Ministerial Tender Review Committee","05th March, 2015","05th April, 2015","Ghana Cedi","Gh¢231500.00","SMICE INTERNATIONAL LIMITED","","SMICE INTERNATIONAL LIMITED P.O.BOX 19125 AN ACCRA-GHANA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0121/2014","NCT","Open Tender","01-Feb","13 18000BTU SPLIT AC4 9000BTU SPLIT AC12 CEILING FANSDELIVERY PERIOD: 30 DAYS","Entity Tender Committee","24th February, 2015","24th March, 2015","Ghana Cedi","Gh¢37970.00","Henkoq Limited","","P. O. Box GP 20405 ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0121/2020","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF CCTV CAMERAS FOR CLINICAL HOSTEL","Central Tender Review Committee","16th September, 2020","16th November, 2020","Ghana Cedi","Gh¢31287.85","FAIRGREEN LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0121/2021","NCT","Open Tender","1","SUPPLY OF LECTURE THEATRE TABLES AND CHAIRS FOR COLLEGE OF HEALTH AND ALLIED SCIENCES SCHOOL OF MEDICAL SCIENCES","Central Tender Review Committee","12th February, 2022","08th April, 2021","Ghana Cedi","Gh¢201250.00","Mr. Quophi Fashions","0","0","0","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0122/2015","-","Single Sourced","1","","ETC/PPA","-","23rd December, 2014","23rd January, 2015","Ghana Cedi","Gh¢51853.26","Annointed Electrical Engineering Services","","P. O. Box KN 5752 ACCRA","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0128/2020","NCT","Open Tender","1","SUPPLY OF CHEMICALS, CONSUMABLES AND EQUIPMENT FOR MOLECULAR BIOLOGY AND BIOTECHNOLOGY","Central Tender Review Committee","18th November, 2020","16th February, 2021","Ghana Cedi","Gh¢177046.70","BENBURTO ENTERPRISES LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0128/2021","NCT","Open Tender","1","SUPPLY AND FIXING OF CURTAINS FOR SCHOOL OF GRADUATE STUDIES NEW BUILDING","Central Tender Review Committee","03rd March, 2021","10th May, 2021","Ghana Cedi","Gh¢236713.00","ACCREDITED INVESTORS COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0147/2020","NCT","Open Tender","","SUPPLY AND INSTALLATION OF SEMI AUTOMATIC PET BLOWING MACHINE FOR UCC ENTERPRISE","Entity Tender Committee","13th November, 2020","09th July, 2021","Ghana Cedi","Gh¢184000.00","RESOLVE SYSTEM LIMITED","0","0","0","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0147/2020","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF SEMI AUTOMATIC PET BLOWING MACHINE FOR UCC ENTERPRISE","Central Tender Review Committee","13th November, 2020","11th February, 2021","Ghana Cedi","Gh¢184000.00","RESOLVE SYSTEM LIMITED","0","0","0","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0148/2020","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF SONOGRAPHY EQUIPMENT FOR MEDICAL IMAGING","Central Tender Review Committee","02nd September, 2020","01st December, 2020","Ghana Cedi","Gh¢678946.51","DCL LABORATORY PRODUCT LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0148/2020","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF SONOGRAPHY EQUIPMENT FOR MEDICAL IMAGING","Entity Tender Committee","02nd September, 2020","27th November, 2020","Ghana Cedi","Gh¢678946.51","DCL LABORATORY PRODUCT LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0149/2020","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF SMART CLASSROOM EQUIPMENT FOR ACECOR","Central Tender Review Committee","16th September, 2020","15th December, 2020","Ghana Cedi","Gh¢97073.40","FAIRGREEN LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0152/2022","NCT","Open Tender","1","SUPPLY OF A4 SHEETS FOR CENTRAL STORES","Central Tender Review Committee","24th August, 2022","29th November, 2022","Ghana Cedi","Gh¢510000.00","JAY KAY INDUSTRIES & INVESTMENTS LTD","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0157/2019","NCT","Open Tender","2","Supply of switch gears for electricity section","Entity Tender Committee","09th March, 2020","22nd April, 2020","Ghana Cedi","Gh¢199350.00","NOBLEMAX LOGISTICS LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0167/2019","NCT","Open Tender","1","Supply of ICT materials for CoDE Papafio study centre Accra","HEAD OF ENTITY","10th February, 2020","04th March, 2020","Ghana Cedi","Gh¢60984.13","FAIRGREEN LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0167/2020","NCT","Open Tender","","Tractor and forage chopper for Agric farms","Entity Tender Committee","16th December, 2020","24th March, 2021","Ghana Cedi","Gh¢330000.00","DIZENGOFF GHANA LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0167/2020","NCT","Open Tender","1","SUPPLY OF TRACTOR AND FORAGE CHOPPER FOR AGRIC FARMS","Central Tender Review Committee","16th December, 2020","16th March, 2021","Ghana Cedi","Gh¢330000.00","DIZENGOFF GHANA LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0168/2020","-","Single Sourced","1","Procurement of Blank Certificates","PPA/CTRC","40 (1)a - Proprietary","25th August, 2020","02nd December, 2021","British Pound","£39000.00","ADVANCE SECURE TECHNOLOGIES LIMITED","0","CF3 5EA, EASTERN BUSINESS PARK, ST MELLONS CARDIFF, UK","0","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0169/2019","NCT","Open Tender","1","Supply of networking materials for UHS(phase 1)","Entity Tender Committee","06th January, 2020","20th February, 2020","Ghana Cedi","Gh¢183692.00","KRATYMIND","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0170/2019","NCT","Open Tender","1","Supply and Installation of Computing Devices and Networking of Computer Lab for CoDE","Entity Tender Committee","18th March, 2020","14th April, 2020","Ghana Cedi","Gh¢234616.43","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0172/2020","-","Single Sourced","1","SUPPLY OF GAS GENERATORS FOR USAID PROJECT","PPA/CTRC","40 (1)b - Urgency","05th December, 2021","14th November, 2021","British Pound","£20470.00","MES EQUIPMENT LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0188/2020","NCT","Open Tender","","SUPPLY OF 70 GRAMS (30 X 40) BOND PAPER FOR UCC PRESS","Entity Tender Committee","14th December, 2020","08th March, 2021","Ghana Cedi","Gh¢740000.00","FINE-PRINT LIMTED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0188/2020","NCT","Open Tender","1","SUPPLY OF 70 GRAMS (30 X 40) BOND PAPER FOR UCC PRESS","Central Tender Review Committee","14th December, 2020","28th December, 2020","Ghana Cedi","Gh¢740000.00","FINE-PRINT LIMTED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0192/2020","NCT","Open Tender","1","THE SUPPLY OF SECURITY ITEMS FOR SECURITY SECTION","Central Tender Review Committee","25th March, 2021","24th May, 2021","Ghana Cedi","Gh¢110240.00","NOBLEMAX LOGISTICS LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0194/2020","NCT","Open Tender","1","SUPPLY OF ANTERIOR SEGMENT MODULE FOR DEPT OF OPTOMETRY AND VISION SCIENCES","Central Tender Review Committee","18th February, 2021","22nd March, 2021","Ghana Cedi","Gh¢20000.00","LIFE CARE TECHNOLOGY GHANA LTD.","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0220/2022","NCT","Open Tender","1","SUPPLY OF CAR TYRES FOR COLLEGE OF DISTANCE EDUCATION - CoDE","Central Tender Review Committee","24th May, 2022","29th June, 2022","Ghana Cedi","Gh¢128100.00","INFINITY TYRES GHANA LTD.","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0223/2022","NCT","Open Tender","1","SUPPLY OF ICT EQUIPMENT( COMPUTERS, PROJECTOR, UPS, NETWORKING ETC) FOR ICT CENTER","Central Tender Review Committee","23rd September, 2022","22nd November, 2022","Ghana Cedi","Gh¢850000.00","ACCREDITED INVESTORS COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0223/2022","NCT","Open Tender","2, 3 & 4","SUPPLY OF ICT EQUIPMENT( COMPUTERS, PROJECTOR, UPS, NETWORKING ETC) FOR ICT CENTER","Central Tender Review Committee","19th August, 2022","25th October, 2022","Ghana Cedi","Gh¢434144.64","KEMSTEC COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0225/2022","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF  DESKTOP COMPUTER POWER SUPPLY UNIT FOR DICTS","Central Tender Review Committee","30th May, 2022","05th August, 2022","Ghana Cedi","Gh¢64575.00","KEMSTEC COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0341/2022","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF SOLAR STREETLIGHT AT SoB TO SWLT AND AALC TO SWLT ROAD","Central Tender Review Committee","14th October, 2022","28th October, 2022","Ghana Cedi","Gh¢338150.00","ANASTTA TRADING AND ELECTRICAL WORKS","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0427/2022","NCT","Open Tender","1","SUPPLY OF 60 GRAMS BOND PAPERS FOR UCC PRESS","Central Tender Review Committee","02nd May, 2023","03rd July, 2023","Ghana Cedi","Gh¢3500000.00","JAY KAY INDUSTRIES & INVESTMENTS LTD","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/21/20135","NCT","Open Tender","1","LOT 1: 30 seater buses. Quantity: 2 LOT 2: 15 seater buses. Quantity: 1 LOT 3: 4x4 double cin pick up. quantity: 1  Tender Security: 2% of Tender Price","Ministerial Tender Review Committee","28th April, 2014","28th May, 2014","Ghana Cedi","Gh¢209903.40","Toyota Ghana company Limited","","P.O.Box 1644 Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/22/20135","NCT","Open Tender","1","120 executive diaries 3050 desk diaries 350 pocket diaries","Entity Tender Committee","17th July, 2013","17th September, 2013","Ghana Cedi","Gh¢57055.00","below the line Ghana Limited","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/22/20135","NCT","Open Tender","1","120 executive diaries 3050 desk diaries 350 pocket diaries","Entity Tender Committee","17th July, 2013","17th September, 2013","Ghana Cedi","Gh¢57055.00","below the line Ghana Limited","","","","-"
"University Of Cape Coast (UCC)","GR/IAA/GD/06/2014","-","Restricted Tender","1","","ETC/PPA","40 (1)b - Urgency","13th August, 2014","20th August, 2014","Ghana Cedi","Gh¢6000.00","URGENT NEED FOR GOODS","","LEGACY & LEGACY P. O. Box KD 43, Kanda-Accra","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","1","Construction of University Clinic Extension, Winneba","Central Tender Review Committee","27th October, 2016","27th October, 2016","Ghana Cedi","Gh¢7326703.87","Messre C-Deck Limited","","C-DECK LIMITED,         P.O. BOX 379         KNUST-KUMASI       TEL:0208159957/0242739685","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","1","purchase","Entity Tender Committee","02nd February, 2016","02nd March, 2016","Ghana Cedi","Gh¢2000.00","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","1","supply","Entity Tender Committee","09th February, 2017","09th February, 2017","Ghana Cedi","Gh¢4000.00","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","18","SUPPLY OF RISO MASTER Z- TYPE","Entity Tender Committee","18th April, 2016","18th May, 2016","Ghana Cedi","Gh¢48360.00","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","18","SUPPLY OF RISO MASTER Z-TYPE","Entity Tender Committee","18th April, 2016","18th May, 2016","Ghana Cedi","Gh¢48360.00","Kedard Office Equipment","","P.O. Box KT. 147, Kotobabi, Accra, Ghana","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","18","SUPPLY OF RISO MASTER Z-TYPE","Entity Tender Committee","18th April, 2016","18th May, 2016","Ghana Cedi","Gh¢48360.00","Kedard Office Equipment Services","","P. O. Box KT 147 Kotobabi Accra","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","2","CONSTRUCTION OF BASIC SCHOOL COMPLEX AT KUMASI CAMPUS","Central Tender Review Committee","24th December, 2016","24th December, 2017","Ghana Cedi","Gh¢4163279.87","Messre C-Deck Construction Limited","","C-DECK CONSTRUCTION LTD,              P.O. BOX 375, KNUST                      Kumasi-Ghana","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","20","supply of Binding Glue","Entity Tender Committee","07th April, 2016","07th May, 2016","Ghana Cedi","Gh¢19200.00","MARY -HEN COMPANY LIMITED","","PRIVATE MAIL WINNEBA","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","20","supply of Binding Glue","Entity Tender Committee","07th April, 2016","07th May, 2016","Ghana Cedi","Gh¢19200.00","MARY -HEN COMPANY LIMITED","","PRIVATE MAIL WINNEBA","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","5","CONSTRUCTION OF LECTURER'S OFFICE COMPLEX, WINNEBA","Central Tender Review Committee","11th November, 2016","11th November, 2017","Ghana Cedi","Gh¢15565149.98","Messrs Sparks (SM) Ghana Limited","","M/S SPARKX (GS) GHANA LIMITED,            P.O. BOX GP 834,             ACCRA","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","Lot 8(A)","CONSTRUCTION OF STAFF BUNGALOW AT WINNEBA ‚Äì LOT 8A","Central Tender Review Committee","16th December, 2015","16th October, 2017","Ghana Cedi","Gh¢5731860.51","Messre Annointed Pillars Associates Limited","","ANNOINTED PILLARS ASSOCIATES LIMITED  P.O.BOX GP 18345,  ACCRA","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","Lot 9(A)","CONSTRUCTION OF REGISTRAR‚ÄôS DUTY POST AT WINNEBA ‚Äì LOT 9A","Central Tender Review Committee","15th December, 2015","15th June, 2016","Ghana Cedi","Gh¢1504319.55","Messre Jonacom Company Limited","","JONACOM COMPANY LIMITED  P.O.BOX SK 565  SAKUMONO ESTATE - TEMA","","-"
"University Of Education Winneba (UCEW)","","-","Open Tender","Lot 9(B)","CONSTRUCTION OF FINANCE OFFICER‚ÄôS DUTY POST AT          WINNEBA ‚Äì LOT 9B","Central Tender Review Committee","16th December, 2015","16th June, 2016","Ghana Cedi","Gh¢1131197.42","Messre Annointed Pillars Associates Limited","","ANNOINTED PILLARS ASSOCIATES LIMITED  P.O.BOX GP 18345,  ACCRA","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/00194/2022","NCT","Open Tender","Lot 4","The University of Education, Winneba is inviting eligible suppliers to tender for the supply of A4 Copier Paper for the Bookshop and University Printing Press","Entity Tender Committee","06th December, 2022","12th January, 2023","Ghana Cedi","Gh¢62401140.00","DOCUTECH LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0033/2021/01","NCT","Open Tender","Lot 1","The University of Education, Winneba is inviting tenders for the supply of 180 colour toners. Tenders can be inspected and purchased on submission of application letter at the Procurement Office of the university from Friday, 26th March, 2021, Monday- Friday, 8:00 am to 5:00pm each day.The validity of the tender is 120 days after the deadline of tender submission. There is a Tender Security of GHS 5000.Tenders must be deposited in the tender box located at the procurement office, at or before 11:00am, on Thursday, 22nd April,2021.Tenders will be opened immediately after the submission, in the presence of tenderers or their representatives who choose to attend at the Pecku building conference room.","Entity Tender Committee","09th June, 2021","09th July, 2021","Ghana Cedi","Gh¢120790.00","DOCUTECH LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0033/2021/02","NCT","Open Tender","Lot 2","The University of Education, Winneba is inviting tenders for the supply of 180 colour toners. Tenders can be inspected and purchased on submission of application letter at the Procurement Office of the university from Friday, 26th March, 2021, Monday- Friday, 8:00 am to 5:00pm each day.The validity of the tender is 120 days after the deadline of tender submission. There is a Tender Security of GHS 5000.Tenders must be deposited in the tender box located at the procurement office, at or before 11:00am, on Thursday, 22nd April,2021.Tenders will be opened immediately after the submission, in the presence of tenderers or their representatives who choose to attend at the Pecku building conference room.","Entity Tender Committee","09th June, 2021","09th January, 2022","Ghana Cedi","Gh¢120973.00","SKYSAT TECHNOLOGIES GHANA LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0034/2022","NCT","Open Tender","Lot 4","The University of Education, Winneba is inviting eligible bidders to tender for the supply of Color Toners to the University Printing Press.","Central Tender Review Committee","26th July, 2022","04th August, 2022","Ghana Cedi","Gh¢25072313.00","DOCUTECH LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0036/2021","NCT","Open Tender","Lot 1","The University of Education, Winneba is inviting eligible suppliers for the procurement of Riso Master to the University Farm","Central Tender Review Committee","01st July, 2022","01st August, 2022","Ghana Cedi","Gh¢68850000.00","ALSALE SERVICES LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0039/2022","NCT","Open Tender","Lot 2","The University of Education, Winneba is inviting eligible bidders to supply A4 papers to the University Bookshop.","Central Tender Review Committee","06th July, 2022","06th August, 2022","Ghana Cedi","Gh¢18360000.00","ALSALE SERVICES LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0040/2021/04","NCT","Open Tender","Lot 4","Supply and Installation of Disaster Recovery Site at the ICT Directorate","Entity Tender Committee","21st December, 2021","21st March, 2022","Ghana Cedi","Gh¢571536.00","SILVER STAR AUTO LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0040/2021/10/01","NCT","Open Tender","Lot 1","Supply of 4x4 Station Wagon to Works and Physical Development Directorate","Entity Tender Committee","21st December, 2021","21st March, 2022","Ghana Cedi","Gh¢381870.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0045/2022","NCT","Open Tender","Lot 3","University of Education, Winneba is inviting eligible suppliers to tender for the supply of Vehicle Tyres","Central Tender Review Committee","01st July, 2022","01st August, 2022","Ghana Cedi","Gh¢33785000.00","SAMIR ENGINEERING AND TRADING COMPANY LTD","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/GD/0064/2022","NCT","Open Tender","Lot 15","The University of Education, Winneba is  inviting  eligible bidders to tender for the supply Executive Saloon Car","Central Tender Review Committee","21st July, 2022","04th August, 2022","Ghana Cedi","Gh¢79907513.00","MOTION UNLIMITED GHANA LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/01/01","NCT","Open Tender","lot 1","Supply of A4 Copier Papers","Central Tender Review Committee","29th April, 2019","30th May, 2019","Ghana Cedi","Gh¢582000.00","Manuel Universal Services Trading Ltd.","","P. O. Box MP 1002 Accra","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/02/01","NCT","Open Tender","Lot 1","Supply and Installation of Air Conditioners for Staff Bungalow at North Campus","Entity Tender Committee","28th June, 2019","28th August, 2019","Ghana Cedi","Gh¢112009.00","Alsale Services Limited","","P. O. Box CT 3490, Cantonments, Accra","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/06/06","NCT","Open Tender","LOT 6","Printing and Supply of Dilopma and Post Graduate Diploma in Education","Central Tender Review Committee","29th August, 2019","10th September, 2019","Ghana Cedi","Gh¢810766.00","DERISCO COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/07/03/R","NCT","Open Tender","Lot 3","Supply of Digital Duplicator (Risograph) to Printing Press","Entity Tender Committee","05th September, 2019","07th October, 2019","Ghana Cedi","Gh¢256000.00","Manuel Universal Services Trading Ltd.","","P. O. Box MP 1002 Accra","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/11/08/R","NCT","Open Tender","LOT 8","Supply of 4x4 Station Wagon for Kumasi Campus","Entity Tender Committee","16th March, 2020","16th April, 2020","Ghana Cedi","Gh¢32142968.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/02","NCT","Open Tender","LOT 2","Printing and supply of 3-Year Early Childhood Second Semester Books","Entity Tender Committee","24th January, 2020","13th February, 2020","Ghana Cedi","Gh¢308516.33","SAKOA PRESS LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/02","NCT","Open Tender","LOT 2","Printing and supply of 3-Year Early Childhood Second Semester Books","Entity Tender Committee","24th January, 2020","13th February, 2020","Ghana Cedi","Gh¢308516.33","SAKOA PRESS LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/04","NCT","Open Tender","LOT 4","Printing and Supply of 2-Year Post Diploma in Basic Education and Early Childhood Second Semester Books.","Central Tender Review Committee","11th February, 2020","02nd March, 2020","Ghana Cedi","Gh¢824913.79","SAKOA PRESS LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/05","NCT","Open Tender","LOT 5","Pinting and supply of 2-Year Post Diploma in Business Programmes, 1-Year Diploma in Education and 1-Year Post Graduate Diploma in Education second Semester Books","Entity Tender Committee","24th January, 2020","13th February, 2020","Ghana Cedi","Gh¢671350.00","DERISCO COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2019/12/06","NCT","Open Tender","LOT 6","Printing and supply of 4-Year Bachelor of Education Programmes Second Semester","Central Tender Review Committee","11th February, 2020","02nd March, 2020","Ghana Cedi","Gh¢3454400.00","DERISCO COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/02","NCT","Open Tender","LOT 2","Supply of 15 Seater Mini Bus","Central Tender Review Committee","30th September, 2020","30th November, 2020","Ghana Cedi","Gh¢88978680.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/03","NCT","Open Tender","3","Supply of 4x4 station Wagon","Entity Tender Committee","10th August, 2020","10th October, 2020","Ghana Cedi","Gh¢668708.60","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/03","NCT","Open Tender","LOT 3","Supply of 4x4 station Wagon","Entity Tender Committee","10th August, 2020","10th October, 2020","Ghana Cedi","Gh¢66870860.00","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/05","NCT","Open Tender","LOT 5","Supply of A3 Papers to the University Printing Press","Entity Tender Committee","10th August, 2020","09th September, 2020","Ghana Cedi","Gh¢585000.00","DOCUTECH LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/05/07","NCT","Open Tender","LOT 7","Supply of Digital Press to the University Printing Press","Entity Tender Committee","11th August, 2020","10th October, 2020","Ghana Cedi","Gh¢250000.00","DOCUTECH LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/06/01","NCT","Open Tender","LOT 1","Supply of 4X4 Pick Up to the Winneba and Kumasi Campuses.","Central Tender Review Committee","03rd November, 2020","03rd March, 2021","Ghana Cedi","Gh¢1471561.00","MOTION UNLIMITED GHANA LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2020/06/02","NCT","Open Tender","LOT 2","Supply of 15- Seater Mini-Bus to the Winneba and Kumasi Campuses","Central Tender Review Committee","03rd November, 2020","03rd February, 2021","Ghana Cedi","Gh¢1587024.00","MOTION UNLIMITED GHANA LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/GDS/2021/10/03/R","NCT","Open Tender","Lot 3","University of Education, Winneba is inviting eligible suppliers for supply and installation of Optical Mark Reader.","Entity Tender Committee","21st December, 2021","21st March, 2022","Ghana Cedi","Gh¢628576.00","URBAN DATA & EDUCATIONAL CONSULT LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/WKS/2019/01/01","NCT","Open Tender","lot 1","Construction of Lecture Block at North Campus, Winneba.","Central Tender Review Committee","28th May, 2019","28th October, 2019","Ghana Cedi","Gh¢2517560.28","Berock Ventures Limited","","P. O. BOx SR65, Spintex Road","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/WKS/2019/01/02","NCT","Open Tender","lot 2","Construction of Lecture Block at South Campus, Winneba.","Central Tender Review Committee","28th May, 2019","28th October, 2019","Ghana Cedi","Gh¢2225844.22","ATTACHY CONSTRUCTION LTD","","P.O.BOX 581 KUMASI-GHANA","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/WKS/2019/01/04","NCT","Open Tender","lot 4","Construction of Lecture Block at Asante-Mampong Campus","Central Tender Review Committee","28th May, 2019","28th October, 2019","Ghana Cedi","Gh¢2406975.84","Messre Annointed Pillars Associates Limited","","ANNOINTED PILLARS ASSOCIATES LIMITED  P.O.BOX GP 18345,  ACCRA","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/WORKS/2019/05/02","NCT","Open Tender","lot 2","Construction of Amu Threater at Central Campus","Entity Tender Committee","18th September, 2019","17th April, 2020","Ghana Cedi","Gh¢486467.11","Kekom Ventures Ltd.","","P. O Box MA105, Ho","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/WORKS/2019/05/05","ICT","Open Tender","LOT 5","Construction of Lecture Block at North Campus Site 3","Entity Tender Committee","09th July, 2019","09th January, 2020","Ghana Cedi","Gh¢336579.29","STEV ASIEDU COMPANY LIMITED","","","","-"
"University Of Education Winneba (UCEW)","CR/UEW/NCT/WORKS/2019/11/01","NCT","Open Tender","1","Construction of Lecture Block at Asante-Mampong Campus","Central Tender Review Committee","20th April, 2020","20th April, 2021","Ghana Cedi","Gh¢5243995.41","BEROCK VENTURES LIMITED","","","","-"
