"Awarding Agency:","Tender Package No:","Tender Type:","Contract Type:","Lot #:","Tender Description:","Approval Auth:","Contract Date:","Delivery / Completion Date:","Contract Currency:","Contract Award Price:","Contract Awarded To:","Company Email:","Company Address:","Company Tel:","Supplier #:"
"National Insurance Commission","GR/NIC/CS/02/2018","NCT","Open Tender","1","Consultancy Services for the Development and Implementation of a Motor Insurance Database","Central Tender Review Committee","28th June, 2019","10th March, 2019","Ghana Cedi","Gh¢15244400.00","ECFATUM LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0046/2019","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF SIGNAGE SCREENS","Entity Tender Committee","08th July, 2019","23rd September, 2019","Ghana Cedi","Gh¢147898.18","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"Foods and Drugs Authority","FDA/PSD/2019/A.7/FWA-0098(03)","NCT","Open Tender","4,5,6 and 7","The Food and Drugs Authority, hereinafter referred to as the Purchaser, intends to apply part of its budgetary allocation to fund eligible payments under the contract for the Procurement of Vehicles through Framework Contracting.  The Food and Drugs Authority invites sealed Tenders from eligible suppliers and manufacturers for the Procurement of Vehicles listed in the Schedule of Requirements (section VI) of the Tender Document","Central Tender Review Committee","26th March, 2020","26th March, 2022","Ghana Cedi","Gh¢825359.62","Mole Projects and Machinery Limited","","P. O. Box BT 182, Community 2, Tema","","-"
"Foods and Drugs Authority","FDA/PSD/2019/A.7/FWA-0098(02)","NCT","Open Tender","1,2&8","Framework Contracts are long-term agreements that provide the terms and conditions under which smaller repeat purchasing orders may be issued for a defined period of time. It is sometimes known as a “Blanket Purchase Agreement”. It establishes the general terms governing contracts to be awarded during a given period, in particular with regard to Price and where appropriate the quantity envisaged.   Under the Framework Contracting, no contract exists until the entity issues an order or “call off” against a framework agreement. This method saves time and money, provides faster processing times and reduced administrative costs because prices and terms have been settled in advance. The Food and Drugs Authority, hereinafter referred to as the Purchaser, intends to apply part of its budgetary allocation to fund eligible payments under the contract for the Procurement of Vehicles through Framework Contracting.  The Food and Drugs Authority invites sealed Tenders from eligible suppliers and manufacturers for the Procurement of Vehicles listed in the Schedule of Requirements (section VI) of the Tender Document","Central Tender Review Committee","26th March, 2020","27th March, 2022","Ghana Cedi","Gh¢825359.62","JAPAN MOTORS TRADING COMPANY LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢34100.00","Amex Pharmacy Ltd","","P.O.Box CT 5036 Cantonments- Accra","","-"
"Foods and Drugs Authority","FDA/PSD/2019/A.7/FWA-0098(1)","NCT","Open Tender","3","Framework Contracts are long-term agreements that provide the terms and conditions under which smaller repeat purchasing orders may be issued for a defined period of time. It is sometimes known as a “Blanket Purchase Agreement”. It establishes the general terms governing contracts to be awarded during a given period, in particular with regard to Price and where appropriate the quantity envisaged.   Under the Framework Contracting, no contract exists until the entity issues an order or “call off” against a framework agreement. This method saves time and money, provides faster processing times and reduced administrative costs because prices and terms have been settled in advance. The Food and Drugs Authority, hereinafter referred to as the Purchaser, intends to apply part of its budgetary allocation to fund eligible payments under the contract for the Procurement of Vehicles through Framework Contracting.  The Food and Drugs Authority invites sealed Tenders from eligible suppliers and manufacturers for the Procurement of Vehicles listed in the Schedule of Requirements (section VI) of the Tender Document","Central Tender Review Committee","27th March, 2020","27th March, 2022","Ghana Cedi","Gh¢1726815.73","TOYOTA GHANA COMPANY LIMITED","","","","-"
"National Insurance Commission","GR/NIC/GD/01/2019","NCT","Open Tender","1","Supply and Delivery of Double Cabin Pickup Vehicles","Entity Tender Committee","28th February, 2019","08th March, 2019","Ghana Cedi","Gh¢356415.00","JAPAN MOTORS TRADING COMPANY LIMITED","","","","-"
"National Insurance Commission","GR/NIC/GD/09/2018","NCT","Open Tender","1","Supply and Delivery of Double Cabin Pickup Vehicle","Entity Tender Committee","20th September, 2018","15th October, 2018","Ghana Cedi","Gh¢118567.40","JAPAN MOTORS TRADING COMPANY LIMITED","","","","-"
"National Insurance Commission","GR/NIC/GD/09/2018","NCT","Open Tender","1","Supply and Delivery of Double Cabin Pickup Vehicle","Entity Tender Committee","20th September, 2018","15th October, 2018","Ghana Cedi","Gh¢118567.40","JAPAN MOTORS TRADING COMPANY LIMITED","","","","-"
"National Insurance Commission","GR/NIC/GD/10/2018","NCT","Open Tender","1","Supply and Delivery of 1no. 4-Wheel Drive Station Vehicle","Entity Tender Committee","26th September, 2018","29th October, 2018","Ghana Cedi","Gh¢325000.00","MECHANICAL LLOYD COMPANY LIMITED","","","","-"
"National Insurance Commission","GR/NIC/GD/10/2018","NCT","Open Tender","1","Supply and Delivery of 1no. 4-Wheel Drive Station Vehicle","Entity Tender Committee","26th September, 2018","29th October, 2018","Ghana Cedi","Gh¢325000.00","MECHANICAL LLOYD COMPANY LIMITED","","","","-"
"National Insurance Commission","GR/NIC/GD/07/2017","NCT","Open Tender","1","Supply and Delivery of 2no. 4WD Station Wagon Vehicle","Entity Tender Committee","21st December, 2017","28th December, 2018","Ghana Cedi","Gh¢564000.00","THE HONDA PLACE (GHANA) LIMITED","","","","-"
"National Insurance Commission","GR/NIC/GD/06/2017","NCT","Open Tender","1","Supply and Delivery of 1no. 4-Wheel Drive Station Wagon Vehicle","Entity Tender Committee","22nd December, 2017","28th December, 2017","Ghana Cedi","Gh¢528328.40","TOYOTA GHANA COMPANY LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢80700.00","ROXIN GHANA LTD","","BOX 625 ACCRA","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/031/17","NCT","Open Tender","2","Supply and installation of one (1) no. dot/line matrix printer","Entity Tender Committee","28th June, 2017","18th August, 2017","Ghana Cedi","Gh¢70000.16","POWER CITY NETWORK LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/153/17","NCT","Open Tender","1","Repairs of Thousand (1,000) lecture room chairs and two hundred (200) dual seater table with chair","Entity Tender Committee","17th August, 2017","18th September, 2017","Ghana Cedi","Gh¢251000.03","ALLIANCE SYSTEMS LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/007/17","NCT","Open Tender","2","Supply of saloon car","Entity Tender Committee","28th April, 2017","15th May, 2017","Ghana Cedi","Gh¢514000.00","SILVER STAR AUTO LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/001/18","NCT","Open Tender","1","Supply of 600 boxes of A4 sheet","Entity Tender Committee","13th April, 2018","15th May, 2018","Ghana Cedi","Gh¢54977.28","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/064/18","NCT","Open Tender","2","Supply of 140,000 examination answer booklets and 5 boxes of supplementary sheets","Entity Tender Committee","13th April, 2018","19th May, 2018","Ghana Cedi","Gh¢145487.50","TRUE FAITH ENTERPRISE LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/021/18","NCT","Open Tender","1","Supply and installation of LCD projectors","Entity Tender Committee","13th April, 2018","03rd May, 2018","Ghana Cedi","Gh¢145178.14","FAIRGREEN LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/002/18","NCT","Open Tender","5","Supply of toners and cartridges","Entity Tender Committee","13th April, 2018","12th May, 2018","Ghana Cedi","Gh¢164610.00","MARKET APPLIANCE","","","","-"
"University of Professional Studies - Accra","GR/UPSA/WK/029/18","NCT","Open Tender","8","Collapsible burglar proofing for lecture block complex and student centre","Entity Tender Committee","21st May, 2018","10th August, 2018","Ghana Cedi","Gh¢412555.00","ASIM LINKS INVESTMENT LIMITED","","","","-"
"University of Professional Studies - Accra","GR/UPSA/GD/084/18","NCT","Open Tender","1","Supply and installation of Electronic Display Board","Entity Tender Committee","26th July, 2018","27th August, 2018","Ghana Cedi","Gh¢221913.50","DIGITAL PLEX LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢242200.00","Dannex Ltd","","P.O.Box 5258 Accra-North","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0157/2019","NCT","Open Tender","2","Supply of switch gears for electricity section","Entity Tender Committee","09th March, 2020","22nd April, 2020","Ghana Cedi","Gh¢199350.00","NOBLEMAX LOGISTICS LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0027/2019","NCT","Open Tender","1","Supply of 15 Seater Bus for Institute of Educational Planning and Administration","Entity Tender Committee","02nd September, 2019","14th October, 2019","Ghana Cedi","Gh¢209361.60","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0106/2019","NCT","Open Tender","3","Supply of GIS Equipment for USAID Fisheries  FCMCBS","HEAD OF ENTITY","25th February, 2020","09th March, 2020","Ghana Cedi","Gh¢104820.92","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"Kwame Nkrumah University Of Science And Technology (KNUST)","AS/KNUST/GD/0057/2019","NCT","Open Tender","4E","Procurement of 4 No. 4 X 4 Pick-Up Vehicles for the Institute of Distance Learning and Procurement Office, KNUST.","Central Tender Review Committee","01st April, 2019","25th June, 2019","Ghana Cedi","Gh¢959081.04","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0102/2019","NCT","Open Tender","2","Supply and installation of backup system for ICT equipment","Entity Tender Committee","21st February, 2020","11th March, 2020","Ghana Cedi","Gh¢353299.55","RHEMA ENGINEERING SOLUTIONS","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0167/2019","NCT","Open Tender","1","Supply of ICT materials for CoDE Papafio study centre Accra","HEAD OF ENTITY","10th February, 2020","04th March, 2020","Ghana Cedi","Gh¢60984.13","FAIRGREEN LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0087/2019","NCT","Open Tender","1","SUPPLY OF LABORATORY EQUIPMENT FOR CHEMISTRY DEPARTMENT - NUFFIC NICHE PROJECT","Entity Tender Committee","09th July, 2019","05th August, 2019","Ghana Cedi","Gh¢193633.89","RESOLVE SYSTEMS LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢14000.00","Surgecare & Pharma Ltd","","P.O.Box CT 4575 Cantonments- Accra","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0029/2019","NCT","Open Tender","1","SUPPLY AND INSTALLATION OF DIGITAL ELECTRONIC BILLBOARDS","Entity Tender Committee","20th September, 2019","01st October, 2019","Ghana Cedi","Gh¢465663.00","DIGITAL PLEX LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0051/2019","NCT","Open Tender","1","Supply of 4 x 4 Pick - UP for School of Nursing and Midwifery","Entity Tender Committee","02nd September, 2019","07th October, 2019","Ghana Cedi","Gh¢231875.70","TOYOTA GHANA COMPANY LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0056/2019","NCT","Open Tender","2","Supply of Chemical and Reagents, Operational Gases and Rental of Gas Cylinders For USAID FCMCBSP","HEAD OF ENTITY","29th November, 2019","02nd December, 2019","Ghana Cedi","Gh¢66780.00","BENBURTO ENTERPRISES LIMITED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0169/2019","NCT","Open Tender","1","Supply of networking materials for UHS(phase 1)","Entity Tender Committee","06th January, 2020","20th February, 2020","Ghana Cedi","Gh¢183692.00","KRATYMIND","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0114/2019","NCT","Open Tender","1","Supply of Business Modules For CoDE","HEAD OF ENTITY","17th September, 2019","10th October, 2019","Ghana Cedi","Gh¢69497.00","PARAMOUNT PRINTING WORKS LTD","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0113/2019","NCT","Open Tender","1","Supply of Education Module for CoDE","HEAD OF ENTITY","17th September, 2019","09th October, 2019","Ghana Cedi","Gh¢30469.00","PARAMOUNT PRINTING WORKS LTD","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0116/2019","NCT","Open Tender","2","Supply of Exercise Books for UCC Press","Entity Tender Committee","02nd October, 2019","07th November, 2019","Ghana Cedi","Gh¢310500.00","FINE-PRINT LIMTED","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0170/2019","NCT","Open Tender","1","Supply and Installation of Computing Devices and Networking of Computer Lab for CoDE","Entity Tender Committee","18th March, 2020","14th April, 2020","Ghana Cedi","Gh¢234616.43","INTERCOM PROGRAMMING AND MANUFACTURING COMPANY LIMITED( IPMC)","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0072/2019","NCT","Open Tender","1","Supply of 2020 Diaries for UCC","Entity Tender Committee","30th October, 2019","04th November, 2019","Ghana Cedi","Gh¢182119.22","JIT MAGAZINE AND DIARIES SERVICES LTD","","","","-"
"University Of Cape Coast (UCC)","CR/UCC/GD/0098/2019","NCT","Open Tender","4","Supply of Distribution Switch For DICTS - DATA Center","Central Tender Review Committee","15th October, 2019","06th November, 2019","Ghana Cedi","Gh¢1231580.38","FAIRGREEN LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢56000.00","Hills Pharmacy Ltd","","P.O.Box GP 14672 Accra","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.6/2019/01","NCT","Open Tender","1","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Central Tender Review Committee","27th June, 2019","27th June, 2019","Ghana Cedi","Gh¢2150400.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.6/2019/01","NCT","Open Tender","3","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Central Tender Review Committee","27th June, 2019","27th June, 2019","Ghana Cedi","Gh¢910200.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.6/2019/01","NCT","Open Tender","4","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Central Tender Review Committee","27th June, 2019","29th July, 2020","Ghana Cedi","Gh¢1232000.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.6/2019/01","NCT","Open Tender","5","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Central Tender Review Committee","27th June, 2019","27th June, 2019","Ghana Cedi","Gh¢240800.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.6/2019/01","NCT","Open Tender","6","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Central Tender Review Committee","27th June, 2019","27th June, 2019","Ghana Cedi","Gh¢451000.00","STELIN AUTOMOTIVE AND TRADING COMPANY LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.6/2019/01","NCT","Open Tender","7","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Central Tender Review Committee","27th June, 2019","27th June, 2019","Ghana Cedi","Gh¢806400.00","THE HONDA PLACE (GHANA) LIMITED","","","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/ADM/NCT/V.6/2019/01","NCT","Open Tender","2","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Central Tender Review Committee","27th June, 2019","03rd July, 2019","Ghana Cedi","Gh¢557970.00","JAPAN MOTORS TRADING COMPANY LIMITED","","","","-"
"Office of the Regional Health Directorate - Ashanti Region","GHS/2013/NCT/B.2.1/01","NCT","Open Tender","VARIOUS","","Regional Tender Review Committee","10th August, 2013","11th August, 2013","Ghana Cedi","Gh¢382000.00","Palb Pharmaceuticals Ltd","","Box AN 3418, Kaneshie - Accra","","-"
"Cocoa Marketing Company (Ghana) Limited","CMC/PU/WPO/NCT/V.6/2019/02","NCT","Open Tender","1","2. Cocoa Marketing Company (Gh.) Limited therefore invites sealed Tenders from eligible suppliers for the supply of the above-mentioned items.  Tendering will be conducted through the National Competitive Tendering (NCT) procedures specified in the Public Procurement Act 2003, (Act 663) as amended and the Guidelines issued by  the Public Procurement Authority (PPA) of the Republic of Ghana.  3. Tenderers shall quote for all quantities in a Lot (of a package). Tenders not offering all quantities in the lot shall be declared non-responsive.   4. Interested eligible Tenderers may obtain further information from the Deputy Procurement Manager , Cocoa Marketing Company (Gh.) Limited, Room 11, First Floor of the Swanzy Shopping Arcade from Monday, 11th March, 2019 between 8.30am and 4.30pm local time onwards till the close of tender.  5. A complete set of Tender document in English may be purchased by interested tenderers on the submission of a written application to the address below and upon payment of a non-refundable fee of Four Hundred and Fifty Ghana Cedis (GHÂ¢450.00) payable at the Cash Office, Room 207, Second Floor, Cocoa House - Accra.  The method of payment will be by cash or bank draft payable to Cocoa Marketing Company (Gh.) Limited.    6. Tenders must be delivered to the address below on or before 10.30 am. on the closing date for the submission of tender.  Tenders shall be valid for a period of 120 days after deadline for Tender submission. All Tenders must be accompanied by a Tender Security of not less than Two percent (2%) of the Total Tender Price from a reputable Bank. Tender security shall be in the currency of the tender.   7. Tenders will be opened in the presence of Tenderers and/or their representatives who choose to attend at the Board Room, Room 306, 3rd Floor, Cocoa House, at 10.45 am on the day of tender submission.","Entity Tender Committee","17th June, 2019","12th July, 2019","Ghana Cedi","Gh¢245140.00","EKOFA COMPANY LIMITED","","","","-"
